time_sec,traffic_flow_count,net_load_kw,charging_load_kw,discharging_load_kw,v_sourcebus,v_650,v_632,v_633,v_634,v_645,v_646,v_671,v_684,v_652,v_611,v_680,v_675,time_hour
0,7,45.0,70.0,25.0,0.9999831724553115,0.9999880420818313,1.0000032475243399,0.9969480420053349,0.9980316977682182,1.0018259987187659,1.0256481556509336,1.027307815900218,1.0192873577447885,1.0244693963181755,1.026619665822884,1.0183699785487088,1.0244693959720668,0.0
600,8,70.0,70.0,0.0,0.9999819787115998,0.9999866507129497,1.0000020506429352,0.9966929480769064,0.9977186132099377,1.0015677780677095,1.0252955653505225,1.0206664730768686,1.0189348900285395,1.0241157758669963,1.0199701794190674,1.018020386052797,1.0241157755207602,0.16666666666666666
1200,9,-25.0,0.0,25.0,0.9999862900906807,0.9999909425494972,1.000006408557479,0.9976235174415335,0.9986464761707468,1.002511026680448,1.0265839919287663,1.0219443437206164,1.020222640042295,1.0254056752059988,1.0212489198302839,1.0193092860844133,1.0254056748601958,0.3333333333333333
1800,8,-25.0,0.0,25.0,0.9999930930713689,0.999995476824429,1.0000124899518574,0.9990752099040214,0.9996259086784609,1.0038488683276934,1.0223577101388936,1.0232775883867127,1.015796579170287,1.021471416808445,1.0227590410178238,1.0151064397566412,1.021471416548096,0.5
2400,11,140.0,140.0,0.0,0.9999856670417963,0.999988043979619,1.0000049953169636,0.997470996170967,0.9980185356173746,1.002226422633412,1.0201485641534602,1.0210627433078203,1.0135935433673369,1.0192603532619258,1.0205430625723253,1.0129019033764755,1.0192603530010114,0.6666666666666666
3000,11,70.0,70.0,0.0,0.9999888384547956,0.9999912184457787,1.0000081959899139,0.998156022795373,0.9987049336440806,1.002919225566246,1.0210914718065864,1.0220081121674605,1.0145338354967235,1.0202040786513538,1.0214889168368921,1.0138428350301298,1.0202040783906805,0.8333333333333334
3600,8,0.0,0.0,0.0,0.9999919779569612,0.999994360949475,1.0000113644304132,0.9988342760157362,0.9993845485171646,1.003605169661635,1.0220256975751254,1.0229447833123129,1.0154654467623219,1.0211391058730417,1.0224260638029992,1.014775071390594,1.0211391056126047,1.0
4200,6,0.0,0.0,0.0,0.999991978330078,0.9999943612974637,1.0000113648712117,0.9988343559952574,0.999384624701637,1.0036052654866776,1.0220258067694268,1.0229448881018315,1.015465576977477,1.0211392188363428,1.022426170788286,1.014775205419723,1.021139218575907,1.1666666666666667
4800,7,0.0,0.0,0.0,0.9999919783300758,0.9999943612974617,1.000011364871209,0.9988343559948001,0.9993846247012252,1.0036052654861065,1.0220258067688048,1.0229448881012644,1.0154655769766991,1.0211392188357011,1.0224261707877085,1.0147752054189205,1.0211392185752655,1.3333333333333333
5400,13,0.0,0.0,0.0,0.9999954889021662,0.9999966542976029,1.0000146292669272,0.9995891516956246,0.9998780388990572,1.0043308840124148,1.0230558305007404,1.0236169855781139,1.016447556226825,1.0223179954294646,1.023184852427763,1.0158729319385729,1.0223179952126842,1.5
6000,9,45.0,70.0,25.0,0.9999934855734227,0.9999946497413948,1.0000126095109971,0.9991562045806112,0.9994444591611399,1.0038934673277768,1.0224591100762144,1.023019074288418,1.0158530911391963,1.021720848114064,1.0225866876153076,1.0152781342652606,1.0217208478971582,1.6666666666666667
6600,12,-25.0,0.0,25.0,0.9999965969611825,0.9999977629865959,1.0000157464920603,0.9998286394575059,1.0001178702263511,1.0045728624606987,1.0233860235367946,1.023947829595352,1.0167765263942135,1.0226484289857611,1.023515839167977,1.016202090490951,1.0226484287690516,1.8333333333333333
7200,9,70.0,70.0,0.0,0.999992367397975,0.9999935308562202,1.0000114822062074,0.9989145734527798,0.9992024722411524,1.0036493505747002,1.0221261888819748,1.0226854855118996,1.015521439248378,1.021387690409101,1.0222529583285254,1.0149462984225381,1.021387690192125,2.0
7800,11,70.0,70.0,0.0,0.9999923673979748,0.99999353085622,1.0000114822062072,0.998914573452738,0.999202472241114,1.0036493505746529,1.0221261888819182,1.022685485511847,1.0155214392483134,1.0213876904090426,1.0222529583284719,1.0149462984224717,1.0213876901920669,2.1666666666666665
8400,9,70.0,70.0,0.0,0.9999923669701227,0.9999935304553701,1.0000114817309387,0.998914481530023,0.9992023843466086,1.0036492473920031,1.0221260633146376,1.022685365228688,1.015521298873445,1.021387561253651,1.022252836007741,1.0149461545888565,1.021387561036674,2.3333333333333335
9000,9,70.0,70.0,0.0,0.9999958827744228,0.9999958347238307,1.0000147485375321,0.9996703784645805,0.9996983156403902,1.0043753488157168,1.0231576645649298,1.0233606610649117,1.0165039505406506,1.022567654728338,1.0230147454500396,1.0160443828959338,1.022567654554956,2.5
9600,8,45.0,70.0,25.0,0.9999969955925966,0.9999969477856389,1.0000158693586765,0.9999109262928969,0.9999390723627837,1.0046181392412163,1.0234892634458963,1.023692698282579,1.016833981298302,1.0228994491069112,1.0233468983751755,1.0163745669300581,1.0228994489335868,2.6666666666666665
10200,11,70.0,70.0,0.0,0.9999958830777472,0.9999958349923015,1.000014748848593,0.9996704431532003,0.9996983747521099,1.0043754157355282,1.0231577535479235,1.0233607417289334,1.016504043032598,1.0225677459090514,1.0230148271144526,1.0160444775801605,1.0225677457356699,2.8333333333333335
10800,9,20.0,70.0,50.0,0.9999980557715832,0.9999978022753502,1.000016947389148,1.000142593510415,1.000111763942626,1.004852580828343,1.0238092053028385,1.0177032610834131,1.0171526562682713,1.0232192734507706,1.0173535952688628,1.0166950067249518,1.0232192732775003,3.0
11400,10,0.0,0.0,0.0,0.9999989413507826,0.9999986825874184,1.0000178386739829,1.0003339959127497,1.0003021766571798,1.0050457578795802,1.0240731797172358,1.0179643892484478,1.0174153629228213,1.0234833961956566,1.0176148111914682,1.0169578280157812,1.0234833960224299,3.1666666666666665
12000,6,0.0,0.0,0.0,0.9999989415851955,0.9999986828082932,1.0000178389284444,1.0003340465652393,1.0003022249169178,1.0050458132581808,1.024073248860455,1.0179644550414881,1.0174154380664713,1.023483467229676,1.0176148780563123,1.0169579048682944,1.0234834670564494,3.3333333333333335
12600,8,-50.0,0.0,50.0,1.000000854037086,1.0000008149486304,1.0000195470086515,1.000737346676584,1.0007680968784571,1.0053997113358923,1.0183984686054588,1.0186029149632254,1.01163771043246,1.0178057366412403,1.018255379726286,1.0111759029078478,1.0178057364670474,3.5
13200,9,0.0,0.0,0.0,0.9999986540208513,0.9999986143144611,1.0000173314162168,1.000261650408522,1.000291970884818,1.0049196435333687,1.017746188758541,1.017949747824206,1.0109886606124565,1.0171530775240443,1.0176019873407065,1.0105265575839153,1.01715307734974,3.6666666666666665
13800,8,70.0,70.0,0.0,0.9999955483454996,0.9999955077107998,1.000014203860991,0.9995902377109785,0.999619947059926,1.0042420838494714,1.0168260850148043,1.0170283884928064,1.0100731371501075,1.0162324401552627,1.016680311040394,1.0096106186016254,1.0162324399808011,3.8333333333333335
14400,6,0.0,0.0,0.0,0.9999986540208513,0.9999986143144611,1.0000173314162168,1.000261650408522,1.000291970884818,1.0049196435333687,1.017746188758541,1.017949747824206,1.0109886606124565,1.0171530775240443,1.0176019873407065,1.0105265575839153,1.01715307734974,4.0
15000,13,70.0,70.0,0.0,0.999995548345479,0.9999955077107809,1.000014203860969,0.9995902377065339,0.9996199470557061,1.0042420838446284,1.0168260850088313,1.0170283884871087,1.0100731371436318,1.0162324401491394,1.0166803110346136,1.0096106185950076,1.016232439974678,4.166666666666667
15600,11,0.0,0.0,0.0,0.9999986540212285,0.9999986143148117,1.0000173314166316,1.000261650490229,1.0002919709616915,1.0049196436238024,1.0177461888688921,1.01794974792869,1.0109886607341332,1.017153077637434,1.017601987446875,1.010526557708515,1.0171530774631299,4.333333333333333
16200,8,0.0,0.0,0.0,0.9999885094402164,0.9999881993209074,1.0000087879970154,0.9980634473523936,0.9980320944466992,1.0030666662773555,1.0147209632132188,1.0148925747419653,1.0084905917130418,1.0139769830781569,1.014456411734108,1.0079118472801245,1.0139769828595961,4.5
16800,8,0.0,0.0,0.0,0.9999885083984184,0.9999881983201414,1.0000087868693535,0.9980632192054117,0.9980318737378807,1.0030664182098656,1.0147206590139646,1.0148922788090362,1.0084902631348998,1.013976670209225,1.0144561109869168,1.0079115113622135,1.013976669990662,4.666666666666667
17400,9,0.0,0.0,0.0,0.9999885083984184,0.9999881983201414,1.0000087868693535,0.9980632192054117,0.9980318737378807,1.0030664182098656,1.0147206590139646,1.0148922788090362,1.0084902631348998,1.013976670209225,1.0144561109869168,1.0079115113622135,1.013976669990662,4.833333333333333
18000,8,0.0,0.0,0.0,0.9999885079856466,0.9999881979220212,1.0000087864195926,0.9980631288165991,0.9980317859205039,1.003066319274447,1.0147205385132123,1.0148921610391206,1.0084901321073034,1.013976546334795,1.0144559912718776,1.0079113774035957,1.013976546116231,5.0
18600,12,0.0,0.0,0.0,0.9999885083984184,0.9999881983201414,1.0000087868693535,0.9980632192054117,0.9980318737378807,1.0030664182098656,1.0147206590139646,1.0148922788090362,1.0084902631348998,1.013976670209225,1.0144561109869168,1.0079115113622135,1.013976669990662,5.166666666666667
19200,9,-25.0,0.0,25.0,0.999989956356052,0.999989634244003,1.0000104628691169,0.9983840858246193,0.9983498976081466,1.0034446865182958,1.0213704636553524,1.0215419488042075,1.015243895832419,1.0206312708065441,1.0211086323517307,1.0146690296408802,1.0206312705894052,5.333333333333333
19800,10,70.0,70.0,0.0,0.99996827297934,0.9999701412945591,0.9999910647247691,0.9937159002608933,0.9941442305980769,0.9992236189929897,1.0211287398701128,1.0219904255105074,1.0157409507286252,1.019944281512289,1.0212976764632626,1.0148217557616872,1.0199442811646342,5.5
20400,11,70.0,70.0,0.0,0.9999682749248322,0.9999701431239766,0.9999910668764895,0.993716318216227,0.9941446277914235,0.9992240853034422,1.0211293131999106,1.0219909742245974,1.0157415862709138,1.0199448702791643,1.0212982339567898,1.0148224055678001,1.0199448699315146,5.666666666666667
21000,10,0.0,0.0,0.0,0.999971565558286,0.9999734363883273,0.9999943895351142,0.994425829963403,0.9948557535231606,0.9999426142319715,1.0221090522555418,1.0229737921533595,1.0167201211642989,1.0209257278345376,1.0222817170995038,1.0158018110114662,1.0209257274872172,5.833333333333333
21600,36,-100.0,0.0,100.0,0.9999762080252602,0.9999780825426107,0.9999990771112386,0.9954270041823731,0.9958592232226564,1.0009565005651142,1.0234926623663427,1.0243617780636538,1.0181019940870868,1.0223109016818412,1.0236706334382526,1.017184897865704,1.0223109013349811,6.0
22200,53,65.0,140.0,75.0,0.9999688045959356,0.9999706799408502,0.9999918443076681,0.9938392866701415,0.994268593968253,0.9994078928620342,1.0274711083561356,1.028342563203141,1.0222008832024898,1.0262939101694561,1.0276541293255606,1.0212875840857902,1.0262939098239572,6.166666666666667
22800,56,65.0,140.0,75.0,0.9999688007395866,0.9999706763293824,0.9999918400462046,0.9938384608921578,0.9942678127176482,0.9994069723332673,1.0274699641997187,1.0283414722502309,1.0221996157401372,1.0262927356163754,1.0276530211136987,1.0212862884745948,1.026292735270867,6.333333333333333
23400,50,40.0,140.0,100.0,0.9999372869771675,0.9999425224510683,0.9999645673943099,0.9870784234360878,0.9882009457124021,0.9934663486363866,1.0303275215588434,1.0261516269354087,1.0202563003727483,1.0284199948937895,1.0250243006277564,1.0187715000172763,1.0284199943335013,6.5
24000,45,-50.0,0.0,50.0,0.9999421390467242,0.9999474293891276,0.9999697151707098,0.9881285589141277,0.9892788263994154,0.994595354888501,1.0379192772751225,1.039930676683217,1.0279743234607766,1.0360265624842893,1.0388240363743375,1.026495799193842,1.0360265619281197,6.666666666666667
24600,51,65.0,140.0,75.0,0.9999362841646905,0.9999415556855282,0.9999638438132951,0.986872753273556,0.9880013438606428,0.9933263694555158,1.0361524221552858,1.0320024996150805,1.0262223048362702,1.03425559801211,1.0308817159991936,1.0247463738846379,1.0342555974550172,6.833333333333333
25200,83,-100.0,0.0,100.0,0.999944510763739,0.9999497527760619,0.9999721335926801,0.9886419739969622,0.989767704972311,0.9951161585514572,1.0386437909391997,1.0344784672403176,1.028693926240295,1.0367513910875314,1.033360318692289,1.0272214147704406,1.0367513905317391,7.0
25800,86,200.0,350.0,150.0,0.9999296200636941,0.9999349072142615,0.9999572969047269,0.9854371581873966,0.9865747131902517,0.991935590367243,1.0341325313311105,1.0361209684367134,1.030450384313201,1.0322277116233354,1.035011200579117,1.0289790384367437,1.0322277110651237,7.166666666666667
26400,89,140.0,140.0,0.0,0.9999328436364057,0.9999381457051308,0.9999606294386771,0.986139349719,0.9872872561291918,0.9926510890937222,1.0412258570250836,1.0432463140582628,1.0314428311813781,1.0393390401724298,1.0421432011325849,1.0299695312561896,1.0393390396180442,7.333333333333333
27000,87,230.0,280.0,50.0,0.9999127105697124,0.9999169987923419,0.9999428543382294,0.9818077729807936,0.9827223993785604,0.988824092324544,1.0350739269620821,1.0368379205726603,1.0261452304068313,1.0330285805333457,1.0356416662057495,1.0245518516242786,1.0330285799326557,7.5
27600,71,345.0,420.0,75.0,0.9999068772884511,0.9999113485719879,0.9999376233498234,0.9805819479606762,0.9815134924723165,0.987726620239708,1.04546532398044,1.0412079488326242,1.0368496994684198,1.0434390612279834,1.0400109830655737,1.0352784811483946,1.043439060633318,7.666666666666667
28200,74,20.0,70.0,50.0,0.9999238875626972,0.9999282736221283,0.9999544692354918,0.9842235587274092,0.985146646811484,0.9913431795222892,1.0445742324787552,1.04026627726499,1.0357738506571232,1.0425463596616862,1.0390681802360455,1.0342008187164522,1.0425463590665014,7.833333333333333
28800,56,45.0,70.0,25.0,0.9999227135477902,0.9999270444337669,0.9999532447793614,0.9839675446397477,0.9848936661771811,0.9910817813082823,1.0442090527071126,1.046009683538349,1.0354094111154577,1.0421814273203318,1.0448240271277336,1.0338304475623836,1.0421814267249103,8.0
29400,62,255.0,280.0,25.0,0.9999117216251884,0.9999161763007071,0.9999425057286517,0.9816220124156482,0.9825521640026549,0.9887795424059993,1.0469483474477443,1.0426825309686165,1.0383227071275258,1.0449248107683937,1.0414871937584678,1.036753583004387,1.044924810174528,8.166666666666666
30000,69,85.0,210.0,125.0,0.9999203958883242,0.9999246990347165,0.9999506066259896,0.9834588348997284,0.9843798757951134,0.9904959877495984,1.0374034634914473,1.0391800485505767,1.0284591865391643,1.0353627778886123,1.0379865795673786,1.0268694532955993,1.0353627772892988,8.333333333333334
30600,75,45.0,70.0,25.0,0.9999227756806803,0.9999229898887718,0.9999543566155558,0.9839717616269681,0.9839921217929171,0.991372130259554,1.044169757734699,1.0386468576493675,1.0358116232435304,1.0424315968736844,1.037616721782982,1.0344650798904977,1.0424315963634463,8.5
31200,73,160.0,210.0,50.0,0.9999168502627391,0.9999169452796973,0.9999483513376972,0.982694857176747,0.9827028672944884,0.9900801068667511,1.0423553409911033,1.0429078965204428,1.0340118706820014,1.0406149979023172,1.041886949565477,1.0326584060131216,1.04061499739117,8.666666666666666
31800,63,-5.0,70.0,75.0,0.9999252706335,0.9999253899965249,0.9999565282799434,0.9844926789988068,0.9845114184435481,0.9918271095135134,1.038817468489972,1.039379591847251,1.0303009159954863,1.0370714072713973,1.0383552343877325,1.0289424622514483,1.0370714067585274,8.833333333333334
32400,46,-50.0,0.0,50.0,0.9999276076241542,0.9999277711383265,0.9999590046594279,0.9850083638781422,0.9850269548017557,0.9923553331259349,1.0456428599274101,1.0401108123306673,1.031033265540426,1.043911887998791,1.0390812146652058,1.0296771532345228,1.0439118874892765,9.0
33000,47,115.0,140.0,25.0,0.9999189700581121,0.9999191709803877,0.9999503711629841,0.9831524870828426,0.9831768529791018,0.9904920917585506,1.043006439695968,1.037494311409804,1.028451754551956,1.0412711688378975,1.036462133224849,1.0270923438968442,1.0412711683271192,9.166666666666666
33600,40,70.0,70.0,0.0,0.9999213273685535,0.9999215190917249,0.9999527261069788,0.9836589708283234,0.9836819518041884,0.9910002936440323,1.0437255416575515,1.0382082148016827,1.029155448956309,1.0419913240175194,1.0371766739042587,1.027796833183523,1.041991323507049,9.333333333333334
34200,37,140.0,140.0,0.0,0.9999177079723407,0.9999158398361211,0.9999496292474286,0.9828746301744944,0.9824520816648729,0.9903581972391448,1.042589208620323,1.036476592881128,1.0282657010594236,1.0409982577999612,1.0355287881364577,1.0270201849713776,1.040998257331627,9.5
34800,41,70.0,70.0,0.0,0.9999217047731408,0.9999197009164553,0.9999537338318133,0.9837309009928967,0.9832872281317759,0.9912678450183648,1.0438029785346208,1.043744987997451,1.0356654077402567,1.0422102392473895,1.0428091802608013,1.0344275344690357,1.0422102387795578,9.666666666666666
35400,31,280.0,280.0,0.0,0.999910484423783,0.9999084767725942,0.9999424685585182,0.9813209485045516,0.9808729398831105,0.9888374400108533,1.0403842094303342,1.040315454238795,1.0322823533184722,1.0387863746773418,1.0393765874456649,1.031040565140206,1.0387863742080106,9.833333333333334
