time_sec,traffic_flow_count,net_load_kw,charging_load_kw,discharging_load_kw,v_sourcebus,v_650,v_632,v_633,v_634,v_645,v_646,v_671,v_684,v_652,v_611,v_680,v_675,time_hour
6000,9,45.0,70.0,25.0,0.9999950799050094,0.999996892125532,1.0000091303836331,0.9995924294116458,0.99986835906105,1.0031219812314551,1.023058854287339,1.0236064300524732,1.0147822497486865,1.0223213617817974,1.0231747445466897,1.0142058042444049,1.0223213615650184,1.6666666666666667
6600,12,-25.0,0.0,25.0,0.9999957157031035,0.9999965213447244,1.000017654576788,0.9995873418276073,0.9998836316599718,1.0049953702316767,1.0230541625891876,1.0236231294159897,1.0173649612694016,1.022316144937704,1.0231907494798262,1.0167913468227379,1.022316144720924,1.8333333333333333
7200,9,70.0,70.0,0.0,0.9999948520404878,0.9999970229643972,1.0000060460261893,0.9995942089951665,0.9998630979908407,1.0024432751103192,1.0230604684898637,1.023600712074132,1.0138493528052122,1.0223231686654661,1.0231692723214438,1.0132718963136267,1.0223231684486882,2.0
7800,11,70.0,70.0,0.0,0.9999948520404878,0.999997022964397,1.000006046026189,0.9995942089951279,0.9998630979908095,1.002443275110264,1.0230604684898104,1.0236007120740886,1.0138493528051387,1.0223231686654115,1.0231692723213996,1.0132718963135514,1.022323168448634,2.1666666666666665
8400,9,70.0,70.0,0.0,0.9999948515843786,0.9999970227662374,1.0000060452111807,0.9995941131415644,0.9998630546987577,1.0024430928994807,1.0230603421187394,1.023600649694002,1.0138491088172217,1.0223230417260494,1.0231692097190295,1.0132716435365483,1.0223230415092708,2.3333333333333335
9000,9,70.0,70.0,0.0,0.9999983523844601,0.9999993072612462,1.0000093439048872,1.000346776152623,1.0003542558747858,1.003176739636027,1.0240878323534814,1.0242701191530401,1.014840220343363,1.023498775258757,1.023925073324952,1.014378805864264,1.0234987750855329,2.5
9600,8,45.0,70.0,25.0,0.9999985380931112,0.9999991290273347,1.0000119815338149,1.0003378913954115,1.0003534884851033,1.0037391982248958,1.0240763820151817,1.0242673805467253,1.009370868084308,1.0234888419311943,1.0239218265692396,1.0089061867813198,1.0234888417579697,2.6666666666666665
10200,11,70.0,70.0,0.0,0.999998393416458,0.999999356517375,1.0000097581188543,1.0003539899995468,1.0003606545864054,1.0032859254118265,1.0240978533653577,1.024278990654988,1.0212292903299036,1.0235071516798615,1.0239342543647398,1.0207719123251815,1.0235071515066394,2.8333333333333335
10800,9,20.0,70.0,50.0,0.9999987632925581,0.999998998777422,1.0000150071011682,1.0003359895082393,1.000359143212786,1.0044044915458734,1.0240746430601404,1.024273523507794,1.0102819900435627,1.0234869532625712,1.0239277719973374,1.0098181136975568,1.0234869530893462,3.0
11400,10,0.0,0.0,0.0,0.99999894248429,0.9999988936170732,1.0000174116795026,1.0003343097862023,1.0003636625157157,1.0049329181588882,1.0240730353668352,1.0242784218724366,1.0110067216787768,1.023485224043855,1.0239325117635238,1.010543481169626,1.0234852238706285,3.1666666666666665
12000,6,0.0,0.0,0.0,0.9999989427560303,0.999998893761692,1.0000174119503893,1.000334369147201,1.000363692900262,1.0049329782743943,1.0240731149033746,1.02427846451728,1.0110068024707406,1.02348530510889,1.0239325543208202,1.0105435650449839,1.0234853049356638,3.3333333333333335
12600,8,-50.0,0.0,50.0,0.9999993902966691,0.9999986289635912,1.0000233645409722,1.0003302892027597,1.0003753530780803,1.006239914765943,1.0240692389807333,1.0242911803018686,1.0128033391921,1.023481138150752,1.0239448702720955,1.0123416970348038,1.0234811379775255,3.5
